date, time, flag, write_data_size[B], elapsed_time[s], write_throghput[MB/s], target_network_stress[MB/s], comments
2025-03-02, 23:05:55, success, 104857600, 6.519218, 15.339264, 500, iperf3 -b 500M -R
2025-03-02, 23:06:02, success, 104857600, 6.526291, 15.322638, 500, iperf3 -b 500M -R
2025-03-02, 23:06:08, success, 104857600, 6.437770, 15.533330, 500, iperf3 -b 500M -R
2025-03-02, 23:06:14, success, 104857600, 5.947305, 16.814340, 500, iperf3 -b 500M -R
2025-03-02, 23:06:21, success, 104857600, 6.574196, 15.210985, 500, iperf3 -b 500M -R
2025-03-02, 23:06:27, success, 104857600, 6.483236, 15.424397, 500, iperf3 -b 500M -R
2025-03-02, 23:06:34, success, 104857600, 6.595903, 15.160926, 500, iperf3 -b 500M -R
2025-03-02, 23:06:40, success, 104857600, 6.417866, 15.581503, 500, iperf3 -b 500M -R
2025-03-02, 23:06:46, success, 104857600, 6.088176, 16.425281, 500, iperf3 -b 500M -R
2025-03-02, 23:06:53, success, 104857600, 6.349574, 15.749089, 500, iperf3 -b 500M -R
