date, time, flag, write_data_size[B], elapsed_time[s], write_throghput[MB/s], target_network_stress[MB/s], comments
2025-03-02, 23:21:39, success, 104857600, 6.901507, 14.489589, 900, iperf3 -b 900M -R
2025-03-02, 23:21:47, success, 104857600, 7.034927, 14.214789, 900, iperf3 -b 900M -R
2025-03-02, 23:21:54, success, 104857600, 7.082603, 14.119103, 900, iperf3 -b 900M -R
2025-03-02, 23:22:01, success, 104857600, 7.015224, 14.254713, 900, iperf3 -b 900M -R
2025-03-02, 23:22:07, success, 104857600, 6.752496, 14.809338, 900, iperf3 -b 900M -R
2025-03-02, 23:22:14, success, 104857600, 6.719000, 14.883167, 900, iperf3 -b 900M -R
2025-03-02, 23:22:21, success, 104857600, 6.924945, 14.440547, 900, iperf3 -b 900M -R
2025-03-02, 23:22:28, success, 104857600, 7.084296, 14.115728, 900, iperf3 -b 900M -R
2025-03-02, 23:22:35, success, 104857600, 7.056130, 14.172074, 900, iperf3 -b 900M -R
2025-03-02, 23:22:42, success, 104857600, 6.945348, 14.398127, 900, iperf3 -b 900M -R
