date, time, flag, write_data_size[B], elapsed_time[s], write_throghput[MB/s], target_network_stress[MB/s], comments
2025-02-24, 16:23:08, success, 104857600, 15.359151, 6.510777, 0, no
2025-02-24, 16:23:13, success, 104857600, 5.340680, 18.724206, 0, no
2025-02-24, 16:23:19, success, 104857600, 6.091942, 16.415126, 0, no
2025-02-24, 16:23:25, success, 104857600, 5.541709, 18.044973, 0, no
2025-02-24, 16:23:31, success, 104857600, 5.776636, 17.311113, 0, no
2025-02-24, 16:23:41, success, 104857600, 10.461003, 9.559313, 0, no
2025-02-24, 16:23:47, success, 104857600, 5.698709, 17.547835, 0, no
2025-02-24, 16:23:52, success, 104857600, 5.502774, 18.172652, 0, no
2025-02-24, 16:23:58, success, 104857600, 5.848296, 17.098997, 0, no
2025-02-24, 16:24:03, success, 104857600, 5.428504, 18.421282, 0, no
