date, time, flag, write_data_size[B], elapsed_time[s], write_throghput[MB/s], target_network_stress[MB/s], comments
2025-03-02, 22:13:43, success, 104857600, 5.711226, 17.509374, 0, no stress
2025-03-02, 22:13:53, success, 104857600, 10.497884, 9.525729, 0, no stress
2025-03-02, 22:14:04, success, 104857600, 10.532241, 9.494656, 0, no stress
2025-03-02, 22:14:09, success, 104857600, 5.476047, 18.261347, 0, no stress
2025-03-02, 22:14:15, success, 104857600, 5.367209, 18.631658, 0, no stress
2025-03-02, 22:14:20, success, 104857600, 5.364916, 18.639622, 0, no stress
2025-03-02, 22:14:26, success, 104857600, 5.831740, 17.147540, 0, no stress
2025-03-02, 22:14:31, success, 104857600, 5.596323, 17.868874, 0, no stress
2025-03-02, 22:14:42, success, 104857600, 10.612865, 9.422526, 0, no stress
2025-03-02, 22:14:47, success, 104857600, 5.025293, 19.899338, 0, no stress
