date, time, flag, write_data_size[B], elapsed_time[s], write_throghput[MB/s], target_network_stress[MB/s], comments
2025-03-02, 22:31:39, success, 104857600, 11.148355, 8.969933, 100, iperf3 -b 100M -P 1 -R
2025-03-02, 22:31:45, success, 104857600, 6.631733, 15.079015, 100, iperf3 -b 100M -P 1 -R
2025-03-02, 22:31:55, success, 104857600, 9.956853, 10.043334, 100, iperf3 -b 100M -P 1 -R
2025-03-02, 22:32:03, success, 104857600, 7.645853, 13.078986, 100, iperf3 -b 100M -P 1 -R
2025-03-02, 22:32:11, success, 104857600, 8.094243, 12.354460, 100, iperf3 -b 100M -P 1 -R
2025-03-02, 22:32:19, success, 104857600, 8.186971, 12.214530, 100, iperf3 -b 100M -P 1 -R
2025-03-02, 22:32:28, success, 104857600, 8.761749, 11.413246, 100, iperf3 -b 100M -P 1 -R
2025-03-02, 22:32:45, success, 104857600, 17.395220, 5.748706, 100, iperf3 -b 100M -P 1 -R
2025-03-02, 22:32:55, success, 104857600, 9.328587, 10.719737, 100, iperf3 -b 100M -P 1 -R
2025-03-02, 22:33:05, success, 104857600, 10.375653, 9.637948, 100, iperf3 -b 100M -P 1 -R
