date, time, flag, write_data_size[B], elapsed_time[s], write_throghput[MB/s], target_network_stress[MB/s], comments
2025-03-02, 23:09:34, success, 104857600, 6.962561, 14.362532, 700, iperf3 -b 700M -R
2025-03-02, 23:09:41, success, 104857600, 6.909189, 14.473480, 700, iperf3 -b 700M -R
2025-03-02, 23:09:48, success, 104857600, 6.675412, 14.980348, 700, iperf3 -b 700M -R
2025-03-02, 23:09:54, success, 104857600, 6.364872, 15.711234, 700, iperf3 -b 700M -R
2025-03-02, 23:10:01, success, 104857600, 6.578088, 15.201985, 700, iperf3 -b 700M -R
2025-03-02, 23:10:07, success, 104857600, 6.585290, 15.185361, 700, iperf3 -b 700M -R
2025-03-02, 23:10:14, success, 104857600, 6.819988, 14.662782, 700, iperf3 -b 700M -R
2025-03-02, 23:10:21, success, 104857600, 6.734853, 14.848135, 700, iperf3 -b 700M -R
2025-03-02, 23:10:27, success, 104857600, 6.545154, 15.278480, 700, iperf3 -b 700M -R
2025-03-02, 23:10:34, success, 104857600, 6.478848, 15.434842, 700, iperf3 -b 700M -R
