date, time, flag, write_data_size[B], elapsed_time[s], write_throghput[MB/s], target_network_stress[MB/s], comments
2025-03-02, 23:00:52, success, 104857600, 5.772454, 17.323655, 200, iperf3 -b 200M -R
2025-03-02, 23:00:57, success, 104857600, 5.231672, 19.114347, 200, iperf3 -b 200M -R
2025-03-02, 23:01:03, success, 104857600, 5.912644, 16.912908, 200, iperf3 -b 200M -R
2025-03-02, 23:01:09, success, 104857600, 5.707079, 17.522098, 200, iperf3 -b 200M -R
2025-03-02, 23:01:15, success, 104857600, 6.107174, 16.374185, 200, iperf3 -b 200M -R
2025-03-02, 23:01:21, success, 104857600, 5.659618, 17.669037, 200, iperf3 -b 200M -R
2025-03-02, 23:01:26, success, 104857600, 5.668234, 17.642181, 200, iperf3 -b 200M -R
2025-03-02, 23:01:32, success, 104857600, 5.533085, 18.073100, 200, iperf3 -b 200M -R
2025-03-02, 23:01:38, success, 104857600, 6.029566, 16.584942, 200, iperf3 -b 200M -R
2025-03-02, 23:01:44, success, 104857600, 5.840715, 17.121192, 200, iperf3 -b 200M -R
