date, time, flag, write_data_size[B], elapsed_time[s], write_throghput[MB/s], target_network_stress[MB/s], comments
2025-03-02, 23:02:18, success, 104857600, 6.130129, 16.312871, 300, iperf3 -b 300M -R
2025-03-02, 23:02:24, success, 104857600, 5.877410, 17.014296, 300, iperf3 -b 300M -R
2025-03-02, 23:02:30, success, 104857600, 5.668246, 17.642142, 300, iperf3 -b 300M -R
2025-03-02, 23:02:36, success, 104857600, 6.096704, 16.402305, 300, iperf3 -b 300M -R
2025-03-02, 23:02:42, success, 104857600, 6.018574, 16.615231, 300, iperf3 -b 300M -R
2025-03-02, 23:02:48, success, 104857600, 6.184237, 16.170144, 300, iperf3 -b 300M -R
2025-03-02, 23:02:54, success, 104857600, 5.864830, 17.050791, 300, iperf3 -b 300M -R
2025-03-02, 23:03:00, success, 104857600, 5.604872, 17.841620, 300, iperf3 -b 300M -R
2025-03-02, 23:03:06, success, 104857600, 5.993371, 16.685102, 300, iperf3 -b 300M -R
2025-03-02, 23:03:12, success, 104857600, 6.001385, 16.662820, 300, iperf3 -b 300M -R
