date, time, flag, write_data_size[B], elapsed_time[s], write_throghput[MB/s], target_network_stress[MB/s], comments
2025-03-02, 22:55:45, success, 104857600, 5.261243, 19.006916, 0, no stress
2025-03-02, 22:55:51, success, 104857600, 5.375662, 18.602359, 0, no stress
2025-03-02, 22:55:56, success, 104857600, 5.707078, 17.522102, 0, no stress
2025-03-02, 22:56:02, success, 104857600, 5.606945, 17.835025, 0, no stress
2025-03-02, 22:56:08, success, 104857600, 5.689144, 17.577336, 0, no stress
2025-03-02, 22:56:13, success, 104857600, 5.447927, 18.355607, 0, no stress
2025-03-02, 22:56:19, success, 104857600, 5.384180, 18.572932, 0, no stress
2025-03-02, 22:56:24, success, 104857600, 5.408227, 18.490348, 0, no stress
2025-03-02, 22:56:30, success, 104857600, 5.841175, 17.119844, 0, no stress
2025-03-02, 22:56:36, success, 104857600, 5.748588, 17.395577, 0, no stress
