date, time, flag, write_data_size[B], elapsed_time[s], write_throghput[MB/s], target_network_stress[MB/s], comments
2025-02-24, 17:43:05, success, 104857600, 8.280662, 12.076328, 112, set -b 8G
2025-02-24, 17:43:13, success, 104857600, 7.711928, 12.966927, 112, set -b 8G
2025-02-24, 17:43:21, success, 104857600, 7.966579, 12.552440, 112, set -b 8G
2025-02-24, 17:43:29, success, 104857600, 7.852835, 12.734254, 112, set -b 8G
2025-02-24, 17:43:37, success, 104857600, 8.447023, 11.838490, 112, set -b 8G
2025-02-24, 17:43:45, success, 104857600, 7.965586, 12.554004, 112, set -b 8G
2025-02-24, 17:43:54, success, 104857600, 8.418691, 11.878332, 112, set -b 8G
2025-02-24, 17:44:01, success, 104857600, 7.492897, 13.345972, 112, set -b 8G
2025-02-24, 17:44:10, success, 104857600, 8.298617, 12.050200, 112, set -b 8G
2025-02-24, 17:44:18, success, 104857600, 7.998566, 12.502241, 112, set -b 8G
