date, time, flag, write_data_size[B], elapsed_time[s], write_throghput[MB/s], target_network_stress[MB/s], comments
2025-03-02, 22:59:10, success, 104857600, 5.836149, 17.134587, 100, iperf3 -b 100M -R
2025-03-02, 22:59:15, success, 104857600, 5.053528, 19.788157, 100, iperf3 -b 100M -R
2025-03-02, 22:59:21, success, 104857600, 5.761855, 17.355522, 100, iperf3 -b 100M -R
2025-03-02, 22:59:27, success, 104857600, 5.787169, 17.279606, 100, iperf3 -b 100M -R
2025-03-02, 22:59:33, success, 104857600, 5.963312, 16.769205, 100, iperf3 -b 100M -R
2025-03-02, 22:59:38, success, 104857600, 5.554090, 18.004750, 100, iperf3 -b 100M -R
2025-03-02, 22:59:44, success, 104857600, 5.415105, 18.466864, 100, iperf3 -b 100M -R
2025-03-02, 22:59:49, success, 104857600, 5.512251, 18.141410, 100, iperf3 -b 100M -R
2025-03-02, 22:59:55, success, 104857600, 5.789291, 17.273274, 100, iperf3 -b 100M -R
2025-03-02, 23:00:01, success, 104857600, 5.751876, 17.385633, 100, iperf3 -b 100M -R
