date, time, flag, write_data_size[B], elapsed_time[s], write_throghput[MB/s], target_network_stress[MB/s], comments
2025-03-03, 23:39:51, success, 104857600, 5.779528, 17.302452, 0, test
2025-03-03, 23:39:57, success, 104857600, 5.758008, 17.367116, 0, test
2025-03-03, 23:40:03, success, 104857600, 5.894742, 16.964270, 0, test
2025-03-03, 23:40:09, success, 104857600, 5.582157, 17.914221, 0, test
2025-03-03, 23:40:14, success, 104857600, 5.375736, 18.602105, 0, test
2025-03-03, 23:40:20, success, 104857600, 5.615864, 17.806700, 0, test
2025-03-03, 23:40:26, success, 104857600, 5.969464, 16.751922, 0, test
2025-03-03, 23:40:31, success, 104857600, 5.786914, 17.280366, 0, test
2025-03-03, 23:40:37, success, 104857600, 5.982145, 16.716411, 0, test
2025-03-03, 23:40:43, success, 104857600, 5.197476, 19.240109, 0, test
