date, time, flag, write_data_size[B], elapsed_time[s], write_throghput[MB/s], target_network_stress[MB/s], comments
2025-03-02, 23:07:53, success, 104857600, 6.701870, 14.921209, 600, iperf3 -b 600M -R
2025-03-02, 23:08:00, success, 104857600, 6.514435, 15.350526, 600, iperf3 -b 600M -R
2025-03-02, 23:08:06, success, 104857600, 6.786448, 14.735250, 600, iperf3 -b 600M -R
2025-03-02, 23:08:12, success, 104857600, 5.906611, 16.930181, 600, iperf3 -b 600M -R
2025-03-02, 23:08:19, success, 104857600, 6.803402, 14.698528, 600, iperf3 -b 600M -R
2025-03-02, 23:08:26, success, 104857600, 6.409100, 15.602815, 600, iperf3 -b 600M -R
2025-03-02, 23:08:33, success, 104857600, 6.969335, 14.348571, 600, iperf3 -b 600M -R
2025-03-02, 23:08:39, success, 104857600, 6.354077, 15.737927, 600, iperf3 -b 600M -R
2025-03-02, 23:08:45, success, 104857600, 6.339083, 15.775151, 600, iperf3 -b 600M -R
2025-03-02, 23:08:52, success, 104857600, 6.322054, 15.817643, 600, iperf3 -b 600M -R
