date, time, flag, write_data_size[B], elapsed_time[s], write_throghput[MB/s], target_network_stress[MB/s], comments
2025-02-24, 17:33:27, success, 104857600, 10.420440, 9.596524, 10, no
2025-02-24, 17:33:44, success, 104857600, 16.743370, 5.972513, 10, no
2025-02-24, 17:33:49, success, 104857600, 5.580529, 17.919447, 10, no
2025-02-24, 17:33:55, success, 104857600, 5.985551, 16.706901, 10, no
2025-02-24, 17:34:01, success, 104857600, 5.847516, 17.101280, 10, no
2025-02-24, 17:34:07, success, 104857600, 5.360263, 18.655801, 10, no
2025-02-24, 17:34:12, success, 104857600, 5.281997, 18.932233, 10, no
2025-02-24, 17:34:29, success, 104857600, 17.167546, 5.824944, 10, no
2025-02-24, 17:34:35, success, 104857600, 5.835469, 17.136583, 10, no
2025-02-24, 17:34:41, success, 104857600, 6.343800, 15.763424, 10, no
