date, time, flag, write_data_size[B], elapsed_time[s], write_throghput[MB/s], target_network_stress[MB/s], comments
2025-03-02, 23:04:35, success, 104857600, 6.370076, 15.698401, 400, iperf3 -b 400M -R
2025-03-02, 23:04:41, success, 104857600, 6.183829, 16.171210, 400, iperf3 -b 400M -R
2025-03-02, 23:04:47, success, 104857600, 5.793458, 17.260847, 400, iperf3 -b 400M -R
2025-03-02, 23:04:53, success, 104857600, 5.990719, 16.692487, 400, iperf3 -b 400M -R
2025-03-02, 23:04:59, success, 104857600, 6.263037, 15.966694, 400, iperf3 -b 400M -R
2025-03-02, 23:05:06, success, 104857600, 6.439392, 15.529417, 400, iperf3 -b 400M -R
2025-03-02, 23:05:12, success, 104857600, 6.181604, 16.177031, 400, iperf3 -b 400M -R
2025-03-02, 23:05:18, success, 104857600, 6.007085, 16.647011, 400, iperf3 -b 400M -R
2025-03-02, 23:05:24, success, 104857600, 5.832539, 17.145192, 400, iperf3 -b 400M -R
2025-03-02, 23:05:30, success, 104857600, 6.107433, 16.373490, 400, iperf3 -b 400M -R
