date, time, flag, write_data_size[B], elapsed_time[s], write_throghput[MB/s], target_network_stress[MB/s], comments
2025-03-02, 23:19:45, success, 104857600, 6.881194, 14.532362, 800, iperf3 -b 800M -R
2025-03-02, 23:19:52, success, 104857600, 7.009452, 14.266450, 800, iperf3 -b 800M -R
2025-03-02, 23:20:00, success, 104857600, 7.030887, 14.222957, 800, iperf3 -b 800M -R
2025-03-02, 23:20:06, success, 104857600, 6.562516, 15.238058, 800, iperf3 -b 800M -R
2025-03-02, 23:20:13, success, 104857600, 6.455147, 15.491513, 800, iperf3 -b 800M -R
2025-03-02, 23:20:19, success, 104857600, 6.594010, 15.165278, 800, iperf3 -b 800M -R
2025-03-02, 23:20:26, success, 104857600, 7.062323, 14.159646, 800, iperf3 -b 800M -R
2025-03-02, 23:20:33, success, 104857600, 6.732631, 14.853033, 800, iperf3 -b 800M -R
2025-03-02, 23:20:40, success, 104857600, 7.004434, 14.276670, 800, iperf3 -b 800M -R
2025-03-02, 23:20:46, success, 104857600, 6.304914, 15.860644, 800, iperf3 -b 800M -R
